City,Country Code,Lat [deg],Lng [deg],Temperature [C],Humidity [%],Cloudiness [%],Wind Speed (kph]
aswan,eg,24.0934,32.907,39.610000000000014,15,0,3.6
shingu,jp,33.7333,135.9833,27.55000000000001,90,100,2.34
chabahar,ir,25.2919,60.643,29.950000000000045,78,46,4.77
panaba,mx,21.2833,-88.2667,23.04000000000002,95,100,0.35
cockburn town,tc,21.4612,-71.1419,27.58000000000004,81,78,5.92
dubai,ae,25.2582,55.3047,40.460000000000036,44,33,6.17
haikou,cn,20.0458,110.3417,28.07000000000005,83,75,4.0
bahia honda,cu,22.9036,-83.1592,24.760000000000048,83,1,1.29
taoudenni,ml,22.6783,-3.9836,44.56,6,1,6.56
jalu,ly,29.0331,21.5482,33.73000000000002,23,0,4.93
esna,eg,25.2934,32.554,37.01000000000005,13,0,4.53
mandal,in,25.45,74.5667,32.900000000000034,55,98,4.23
samdari,in,25.8167,72.5833,36.670000000000016,43,98,5.31
turbat,pk,26.0023,63.044,37.650000000000034,40,68,3.96
maurawan,in,26.4333,80.8833,34.02000000000004,53,83,5.64
santa barbara,mx,34.7333,-120.0343,10.800000000000011,94,40,0.0
tiznit,ma,29.5833,-9.5,33.24000000000001,28,0,3.46
santa lucia,es,27.9117,-15.5407,19.620000000000005,69,20,13.89
mulege,mx,26.8833,-111.9833,28.640000000000043,53,83,1.06
los llanos de aridane,es,28.6585,-17.9182,23.400000000000034,79,20,7.2
pacific grove,us,36.6177,-121.9166,12.760000000000048,92,90,0.45
sabha,ly,27.0377,14.4283,33.360000000000014,20,0,3.2
hamilton,bm,39.1834,-84.5333,23.58000000000004,93,90,0.0
saint george,bm,37.1041,-113.5841,24.189999999999998,71,1,0.89
houma,us,29.5958,-90.7195,26.379999999999995,92,5,2.24
hasaki,jp,35.7333,140.8333,25.960000000000036,79,0,4.99
cockburn town,bs,21.4612,-71.1419,27.58000000000004,81,78,5.92
buraydah,sa,26.326,43.975,43.25,7,2,2.18
sardarshahr,in,28.4333,74.4833,37.54000000000002,39,73,1.37
marsa matruh,eg,31.3525,27.2453,29.110000000000014,51,20,5.14
nalut,ly,30.3333,10.85,34.170000000000016,14,0,4.02
san quintin,mx,30.4833,-115.95,19.29000000000002,90,100,2.86
jishou,cn,28.3167,109.7167,27.420000000000016,83,36,1.52
marsh harbour,bs,26.5412,-77.0636,27.430000000000007,79,31,5.69
adrar,dz,20.5022,-10.0711,39.89000000000004,16,11,3.5
abadan,ir,30.3392,48.3043,49.97000000000003,6,0,6.17
pecos,us,31.4229,-103.4932,22.689999999999998,83,40,6.17
doha,kw,25.2867,51.5333,37.97000000000003,60,12,4.63
muktsar,in,30.4833,74.5167,40.710000000000036,30,72,2.13
lasa,cn,46.6166,10.7002,22.200000000000045,69,83,3.07
surt,ly,31.2089,16.5887,29.28000000000003,50,0,4.32
severo-kurilsk,ru,50.6789,156.125,12.210000000000036,97,82,0.92
teguise,es,29.0605,-13.564,23.120000000000005,61,20,12.35
khem karan,in,31.1428,74.5667,37.05000000000001,35,72,3.31
dangtu,cn,31.5723,118.4928,26.03000000000003,94,100,7.2
yafran,ly,32.0633,12.5286,32.460000000000036,15,0,1.68
palestine,us,31.9216,35.2033,27.78000000000003,56,1,3.74
montgomery,us,39.1501,-77.1997,21.460000000000036,89,1,0.45
torbay,ca,47.6666,-52.7314,14.400000000000034,90,90,2.57
mehran,ir,33.1222,46.1646,46.710000000000036,6,0,10.42
asfi,ma,32.2994,-9.2372,24.629999999999995,55,2,7.35
north myrtle beach,us,33.816,-78.68,20.700000000000045,91,20,2.06
columbus,us,39.9612,-82.9988,21.75,95,1,0.0
maebaru,jp,33.55,130.2,29.760000000000048,63,100,2.19
kahului,us,20.8947,-156.47,24.78000000000003,91,1,8.75
misratah,ly,32.3754,15.0925,30.840000000000032,44,0,3.73
woodstock,us,43.1334,-80.7497,17.53000000000003,95,3,2.68
ribeira grande,pt,38.5167,-28.7,22.220000000000027,78,40,3.09
nikolskoye,ru,59.7035,30.7861,21.660000000000025,41,74,4.48
chino valley,us,34.7575,-112.4538,17.79000000000002,94,90,0.89
damghan,ir,36.1683,54.348,38.04000000000002,13,1,2.92
vila franca do campo,pt,37.7167,-25.4333,21.230000000000018,78,78,3.14
ada,us,43.4166,-116.1262,20.620000000000005,29,20,0.89
hendersonville,us,36.3048,-86.62,23.25,95,26,1.45
polis,cy,35.0367,32.4264,32.379999999999995,68,1,3.6
ponta delgada,pt,37.7333,-25.6667,21.400000000000034,83,75,3.09
king city,us,36.2127,-121.126,16.33000000000004,46,64,0.5
ponta do sol,pt,32.6667,-17.1,24.78000000000003,72,0,0.66
elizabeth city,us,36.2946,-76.2511,20.180000000000007,94,1,0.0
san lawrenz,mt,36.0553,14.204,31.670000000000016,66,0,3.16
xining,cn,36.6167,101.7667,15.78000000000003,93,100,1.23
almunecar,es,36.7339,-3.6907,32.03000000000003,57,24,3.22
miandoab,ir,36.9694,46.1027,37.210000000000036,12,0,3.09
murgab,tm,37.4966,61.9714,43.93000000000001,10,0,6.17
marsala,it,37.7966,12.4352,31.879999999999995,22,0,8.23
binzhou,cn,37.3667,118.0167,31.129999999999995,53,10,5.0
fortuna,us,40.5982,-124.1573,12.379999999999995,94,90,0.89
yumen,cn,40.2833,97.2,26.02000000000004,38,28,13.1
yuci,cn,37.6803,112.7319,29.860000000000014,45,20,2.0
seoul,kr,37.5683,126.9778,31.590000000000032,55,0,4.12
ocean city,us,39.2776,-74.5746,21.52000000000004,87,100,4.92
fountain,us,38.6822,-104.7008,17.439999999999998,75,75,2.57
harrisonburg,us,38.4496,-78.8689,20.77000000000004,80,1,0.0
mahon,es,39.8885,4.2658,28.310000000000002,61,0,7.72
tunceli,tr,39.1083,39.5471,33.48000000000002,18,0,3.61
sereflikochisar,tr,38.9393,33.5386,27.480000000000018,27,0,4.26
santa flavia,it,38.085,13.5351,32.129999999999995,30,2,2.15
mantamados,gr,39.3117,26.3339,28.03000000000003,46,0,4.19
neftcala,az,39.3742,49.2472,30.5,55,0,7.17
rabo de peixe,pt,37.8,-25.5833,20.730000000000018,83,75,3.09
price,us,39.5994,-110.8107,19.58000000000004,59,75,3.09
anzio,it,41.4853,12.6179,29.28000000000003,58,27,9.96
kashi,cn,39.4547,75.9797,37.56,16,20,3.0
mount vernon,us,40.9126,-73.8371,19.74000000000001,88,90,1.34
